fixture_id,league,league_ru,season,date,home_team,away_team,home_goals,away_goals,result,b365_home,b365_draw,b365_away,bw_home,bw_draw,bw_away,iw_home,iw_draw,iw_away,ps_home,ps_draw,ps_away,wh_home,wh_draw,wh_away,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
fd__31/08/2024_Arsenal_Brighton,E0,Английская Премьер-лига,2024,31/08/2024,Arsenal,Brighton,1,1,D,1.33,5.5,8.5,1.36,5.5,8.0,0.0,0.0,0.0,1.34,5.87,8.1,1.33,5.5,8.5,11,22,7,4,12,7,3,7,3,2,1,0
fd__31/08/2024_Brentford_Southampton,E0,Английская Премьер-лига,2024,31/08/2024,Brentford,Southampton,3,1,H,1.75,3.9,4.33,1.75,3.9,4.4,0.0,0.0,0.0,1.79,3.9,4.51,1.75,3.9,4.6,20,18,7,6,10,7,2,8,2,1,0,0
fd__31/08/2024_Everton_Bournemouth,E0,Английская Премьер-лига,2024,31/08/2024,Everton,Bournemouth,2,3,A,2.75,3.4,2.55,2.65,3.4,2.6,0.0,0.0,0.0,2.82,3.38,2.62,2.75,3.4,2.6,18,17,8,7,6,1,8,4,2,1,0,0
fd__31/08/2024_Ipswich_Fulham,E0,Английская Премьер-лига,2024,31/08/2024,Ipswich,Fulham,1,1,D,3.0,3.5,2.3,3.1,3.5,2.25,0.0,0.0,0.0,3.14,3.53,2.32,3.1,3.5,2.3,11,9,4,4,15,15,8,6,2,3,0,0
fd__31/08/2024_Leicester_Aston Villa,E0,Английская Премьер-лига,2024,31/08/2024,Leicester,Aston Villa,1,2,A,4.5,4.0,1.7,4.4,3.9,1.77,0.0,0.0,0.0,4.8,4.09,1.71,4.6,3.9,1.75,9,10,3,5,13,21,1,4,4,5,0,0
fd__31/08/2024_Nott'm Forest_Wolves,E0,Английская Премьер-лига,2024,31/08/2024,Nott'm Forest,Wolves,1,1,D,2.0,3.7,3.7,2.1,3.6,3.5,0.0,0.0,0.0,2.02,3.7,3.71,2.05,3.6,3.6,16,11,5,3,15,18,7,3,3,4,0,0
fd__31/08/2024_West Ham_Man City,E0,Английская Премьер-лига,2024,31/08/2024,West Ham,Man City,1,3,A,7.0,5.5,1.38,7.25,5.25,1.39,0.0,0.0,0.0,7.69,5.64,1.37,8.0,5.0,1.4,10,23,2,8,10,3,3,11,3,2,0,0
fd__01/09/2024_Chelsea_Crystal Palace,E0,Английская Премьер-лига,2024,01/09/2024,Chelsea,Crystal Palace,1,1,D,1.6,4.33,5.0,1.6,4.4,5.0,0.0,0.0,0.0,1.63,4.4,5.06,1.65,4.33,5.0,13,9,7,3,9,13,4,5,4,2,0,0
fd__01/09/2024_Newcastle_Tottenham,E0,Английская Премьер-лига,2024,01/09/2024,Newcastle,Tottenham,2,1,H,2.5,4.0,2.5,2.45,4.0,2.55,0.0,0.0,0.0,2.5,3.96,2.62,2.5,4.0,2.5,9,20,3,6,16,13,7,12,4,4,0,0
fd__01/09/2024_Man United_Liverpool,E0,Английская Премьер-лига,2024,01/09/2024,Man United,Liverpool,0,3,A,3.7,4.2,1.85,3.7,4.1,1.87,0.0,0.0,0.0,3.93,4.31,1.82,3.8,4.2,1.85,8,11,3,3,7,7,5,2,4,1,0,0
fd__14/09/2024_Southampton_Man United,E0,Английская Премьер-лига,2024,14/09/2024,Southampton,Man United,0,3,A,4.5,4.0,1.7,4.5,4.0,1.73,0.0,0.0,0.0,4.5,4.13,1.74,4.75,3.8,1.75,6,20,4,10,11,14,0,7,1,4,1,0
fd__14/09/2024_Brighton_Ipswich,E0,Английская Премьер-лига,2024,14/09/2024,Brighton,Ipswich,0,0,D,1.38,5.0,7.5,1.38,5.25,7.75,0.0,0.0,0.0,1.38,5.13,8.05,1.4,5.0,8.0,21,6,6,1,14,16,9,2,4,3,0,0
fd__14/09/2024_Crystal Palace_Leicester,E0,Английская Премьер-лига,2024,14/09/2024,Crystal Palace,Leicester,2,2,D,1.62,4.0,5.5,1.62,4.1,5.25,0.0,0.0,0.0,1.62,4.13,5.48,1.65,4.0,5.5,20,9,4,4,11,15,5,2,0,3,0,0
fd__14/09/2024_Fulham_West Ham,E0,Английская Премьер-лига,2024,14/09/2024,Fulham,West Ham,1,1,D,2.38,3.25,3.0,2.4,3.6,2.8,0.0,0.0,0.0,2.4,3.53,2.97,2.5,3.4,2.88,21,11,5,3,15,18,3,2,2,3,0,0
fd__14/09/2024_Liverpool_Nott'm Forest,E0,Английская Премьер-лига,2024,14/09/2024,Liverpool,Nott'm Forest,0,1,A,1.22,6.5,12.0,1.22,7.0,12.0,0.0,0.0,0.0,1.21,7.23,12.71,1.22,6.5,13.0,14,5,5,3,15,6,7,2,4,4,0,0
fd__14/09/2024_Man City_Brentford,E0,Английская Премьер-лига,2024,14/09/2024,Man City,Brentford,2,1,H,1.18,8.0,12.0,1.19,7.75,14.0,0.0,0.0,0.0,1.17,8.43,14.62,1.18,7.5,15.0,18,8,7,5,9,3,12,3,3,1,0,0
fd__14/09/2024_Aston Villa_Everton,E0,Английская Премьер-лига,2024,14/09/2024,Aston Villa,Everton,3,2,H,1.5,4.2,6.5,1.5,4.5,6.25,0.0,0.0,0.0,1.51,4.45,6.48,1.5,4.4,6.5,17,6,8,2,10,12,6,2,1,4,0,0
fd__14/09/2024_Bournemouth_Chelsea,E0,Английская Премьер-лига,2024,14/09/2024,Bournemouth,Chelsea,0,1,A,3.4,3.8,2.0,3.3,3.9,2.05,0.0,0.0,0.0,3.32,3.97,2.06,3.4,3.9,2.05,19,10,7,3,16,9,6,3,6,8,0,0
fd__15/09/2024_Tottenham_Arsenal,E0,Английская Премьер-лига,2024,15/09/2024,Tottenham,Arsenal,0,1,A,3.0,3.5,2.3,2.95,3.7,2.25,0.0,0.0,0.0,3.03,3.62,2.32,3.0,3.6,2.3,15,7,5,4,13,10,7,6,5,3,0,0
fd__15/09/2024_Wolves_Newcastle,E0,Английская Премьер-лига,2024,15/09/2024,Wolves,Newcastle,1,2,A,3.4,3.5,2.1,3.2,3.75,2.1,0.0,0.0,0.0,3.41,3.71,2.1,3.3,3.7,2.1,12,14,5,6,17,6,4,7,3,3,0,0
fd__21/09/2024_West Ham_Chelsea,E0,Английская Премьер-лига,2024,21/09/2024,West Ham,Chelsea,0,3,A,3.6,3.9,1.95,3.4,3.8,2.05,0.0,0.0,0.0,3.59,3.93,1.99,3.4,3.75,2.05,15,12,7,5,17,9,6,5,5,2,0,0
fd__21/09/2024_Aston Villa_Wolves,E0,Английская Премьер-лига,2024,21/09/2024,Aston Villa,Wolves,3,1,H,1.57,4.2,5.25,1.58,4.4,5.25,0.0,0.0,0.0,1.59,4.47,5.44,1.6,4.2,5.5,9,10,4,4,11,16,6,5,3,6,0,0
fd__21/09/2024_Fulham_Newcastle,E0,Английская Премьер-лига,2024,21/09/2024,Fulham,Newcastle,3,1,H,3.0,3.4,2.4,2.87,3.6,2.35,0.0,0.0,0.0,2.89,3.54,2.47,2.88,3.4,2.5,22,15,11,4,16,8,6,0,6,0,0,0
fd__21/09/2024_Leicester_Everton,E0,Английская Премьер-лига,2024,21/09/2024,Leicester,Everton,1,1,D,2.45,3.4,2.88,2.55,3.4,2.7,0.0,0.0,0.0,2.54,3.43,2.88,2.5,3.5,2.75,12,16,2,5,11,12,6,1,1,2,0,0
fd__21/09/2024_Liverpool_Bournemouth,E0,Английская Премьер-лига,2024,21/09/2024,Liverpool,Bournemouth,3,0,H,1.3,6.25,9.0,1.29,6.5,9.0,0.0,0.0,0.0,1.28,6.36,9.45,1.3,6.5,8.5,19,19,13,6,10,12,3,9,1,4,0,0
fd__21/09/2024_Southampton_Ipswich,E0,Английская Премьер-лига,2024,21/09/2024,Southampton,Ipswich,1,1,D,2.25,3.5,3.2,2.25,3.6,3.0,0.0,0.0,0.0,2.27,3.5,3.24,2.2,3.6,3.2,11,13,3,6,16,16,2,10,4,4,0,0
fd__21/09/2024_Tottenham_Brentford,E0,Английская Премьер-лига,2024,21/09/2024,Tottenham,Brentford,3,1,H,1.55,4.5,5.5,1.53,4.75,5.5,0.0,0.0,0.0,1.55,4.77,5.48,1.57,4.5,5.5,23,6,10,6,11,9,9,4,3,1,0,0
fd__21/09/2024_Crystal Palace_Man United,E0,Английская Премьер-лига,2024,21/09/2024,Crystal Palace,Man United,0,0,D,2.88,3.75,2.3,2.75,3.7,2.4,0.0,0.0,0.0,2.92,3.76,2.35,2.88,3.6,2.38,9,15,4,6,7,12,4,11,3,1,0,0
fd__22/09/2024_Brighton_Nott'm Forest,E0,Английская Премьер-лига,2024,22/09/2024,Brighton,Nott'm Forest,2,2,D,1.75,3.75,4.75,1.78,3.8,4.4,0.0,0.0,0.0,1.79,3.91,4.51,1.8,3.8,4.5,14,4,3,3,12,11,9,1,3,4,0,1
fd__22/09/2024_Man City_Arsenal,E0,Английская Премьер-лига,2024,22/09/2024,Man City,Arsenal,2,2,D,1.8,3.6,4.5,1.8,3.6,4.6,0.0,0.0,0.0,1.85,3.66,4.54,1.85,3.5,4.5,33,5,11,3,7,10,8,2,3,4,0,1
fd__28/09/2024_Newcastle_Man City,E0,Английская Премьер-лига,2024,28/09/2024,Newcastle,Man City,1,1,D,5.25,4.33,1.6,5.0,4.33,1.61,0.0,0.0,0.0,5.18,4.54,1.6,5.0,4.33,1.62,11,16,4,6,14,10,5,6,4,4,0,0
fd__28/09/2024_Arsenal_Leicester,E0,Английская Премьер-лига,2024,28/09/2024,Arsenal,Leicester,4,2,H,1.17,8.0,15.0,1.19,7.75,14.0,0.0,0.0,0.0,1.18,8.27,14.09,1.2,7.0,15.0,36,5,16,3,11,6,17,0,2,4,0,0
fd__28/09/2024_Brentford_West Ham,E0,Английская Премьер-лига,2024,28/09/2024,Brentford,West Ham,1,1,D,2.2,3.5,3.2,2.2,3.6,3.1,0.0,0.0,0.0,2.23,3.63,3.22,2.25,3.6,3.1,8,19,3,3,2,11,7,7,2,3,0,0
fd__28/09/2024_Chelsea_Brighton,E0,Английская Премьер-лига,2024,28/09/2024,Chelsea,Brighton,4,2,H,1.73,4.2,4.2,1.71,4.1,4.5,0.0,0.0,0.0,1.75,4.3,4.32,1.75,4.2,4.33,15,15,7,5,11,8,8,2,3,2,0,0
fd__28/09/2024_Everton_Crystal Palace,E0,Английская Премьер-лига,2024,28/09/2024,Everton,Crystal Palace,2,1,H,2.7,3.3,2.63,2.7,3.4,2.55,0.0,0.0,0.0,2.76,3.35,2.69,2.75,3.4,2.6,8,17,2,5,13,11,5,8,2,1,0,0
fd__28/09/2024_Nott'm Forest_Fulham,E0,Английская Премьер-лига,2024,28/09/2024,Nott'm Forest,Fulham,0,1,A,2.38,3.3,3.0,2.37,3.3,3.0,0.0,0.0,0.0,2.49,3.32,3.03,2.38,3.3,3.1,11,14,1,2,11,15,6,5,2,4,0,0
fd__28/09/2024_Wolves_Liverpool,E0,Английская Премьер-лига,2024,28/09/2024,Wolves,Liverpool,1,2,A,8.0,5.75,1.33,7.75,5.25,1.38,0.0,0.0,0.0,8.09,5.63,1.36,8.0,5.5,1.35,8,10,3,6,16,8,2,10,2,3,0,0
fd__29/09/2024_Ipswich_Aston Villa,E0,Английская Премьер-лига,2024,29/09/2024,Ipswich,Aston Villa,2,2,D,4.0,3.75,1.85,3.9,3.7,1.9,0.0,0.0,0.0,4.34,3.77,1.85,4.0,3.7,1.91,15,7,5,3,10,14,10,0,4,1,0,0
fd__29/09/2024_Man United_Tottenham,E0,Английская Премьер-лига,2024,29/09/2024,Man United,Tottenham,0,3,A,2.35,3.75,2.75,2.3,3.9,2.8,0.0,0.0,0.0,2.42,3.9,2.75,2.3,4.0,2.75,11,24,2,10,16,14,5,3,5,3,1,0
fd__30/09/2024_Bournemouth_Southampton,E0,Английская Премьер-лига,2024,30/09/2024,Bournemouth,Southampton,3,1,H,1.65,4.1,5.0,1.65,4.2,5.0,0.0,0.0,0.0,1.65,4.37,5.01,1.67,4.2,4.8,14,9,6,3,19,12,7,4,2,5,0,0
fd__05/10/2024_Crystal Palace_Liverpool,E0,Английская Премьер-лига,2024,05/10/2024,Crystal Palace,Liverpool,0,1,A,6.0,4.5,1.5,6.0,4.6,1.5,0.0,0.0,0.0,6.38,4.71,1.5,6.5,4.4,1.5,9,16,5,4,7,15,3,8,4,2,0,0
fd__05/10/2024_Arsenal_Southampton,E0,Английская Премьер-лига,2024,05/10/2024,Arsenal,Southampton,3,1,H,1.14,9.0,17.0,1.14,9.5,17.0,0.0,0.0,0.0,1.13,9.46,19.13,1.14,8.5,19.0,29,8,6,2,10,9,13,1,0,3,0,0
fd__05/10/2024_Brentford_Wolves,E0,Английская Премьер-лига,2024,05/10/2024,Brentford,Wolves,5,3,H,2.05,3.6,3.4,2.0,3.6,3.6,0.0,0.0,0.0,2.14,3.62,3.44,2.1,3.6,3.5,19,17,12,6,9,10,10,3,2,3,0,0
fd__05/10/2024_Leicester_Bournemouth,E0,Английская Премьер-лига,2024,05/10/2024,Leicester,Bournemouth,1,0,H,3.1,3.75,2.15,3.1,3.7,2.15,0.0,0.0,0.0,3.35,3.63,2.17,3.2,3.7,2.15,6,17,2,2,12,14,0,9,4,1,0,0
fd__05/10/2024_Man City_Fulham,E0,Английская Премьер-лига,2024,05/10/2024,Man City,Fulham,3,2,H,1.25,7.0,9.5,1.24,6.75,11.0,0.0,0.0,0.0,1.23,7.15,10.66,1.25,6.0,12.0,20,11,7,4,4,10,8,3,2,1,0,0
fd__05/10/2024_West Ham_Ipswich,E0,Английская Премьер-лига,2024,05/10/2024,West Ham,Ipswich,4,1,H,1.8,3.8,4.33,1.8,3.9,4.1,0.0,0.0,0.0,1.81,4.02,4.29,1.8,3.9,4.33,23,9,13,2,12,6,5,5,0,1,0,0
fd__05/10/2024_Everton_Newcastle,E0,Английская Премьер-лига,2024,05/10/2024,Everton,Newcastle,0,0,D,3.2,3.6,2.2,3.1,3.6,2.2,0.0,0.0,0.0,3.18,3.59,2.27,3.1,3.7,2.2,8,14,2,3,12,8,0,10,1,2,0,0
fd__06/10/2024_Aston Villa_Man United,E0,Английская Премьер-лига,2024,06/10/2024,Aston Villa,Man United,0,0,D,2.2,3.75,3.0,2.2,3.7,3.0,0.0,0.0,0.0,2.22,3.87,3.09,2.2,3.7,3.1,11,10,1,4,12,11,6,3,1,5,0,0
fd__06/10/2024_Chelsea_Nott'm Forest,E0,Английская Премьер-лига,2024,06/10/2024,Chelsea,Nott'm Forest,1,1,D,1.48,4.5,6.5,1.47,4.6,6.25,0.0,0.0,0.0,1.5,4.81,6.2,1.5,4.5,6.5,22,16,8,9,12,11,11,3,6,2,0,1
fd__06/10/2024_Brighton_Tottenham,E0,Английская Премьер-лига,2024,06/10/2024,Brighton,Tottenham,3,2,H,2.9,4.0,2.2,2.85,4.0,2.25,0.0,0.0,0.0,2.95,3.99,2.25,2.9,4.0,2.2,11,13,4,3,14,10,4,7,2,2,0,0
fd__19/10/2024_Tottenham_West Ham,E0,Английская Премьер-лига,2024,19/10/2024,Tottenham,West Ham,4,1,H,1.5,5.0,5.25,1.5,4.8,5.75,0.0,0.0,0.0,1.5,5.01,5.88,1.53,4.75,5.5,22,11,7,4,10,15,13,5,1,3,0,1
fd__19/10/2024_Fulham_Aston Villa,E0,Английская Премьер-лига,2024,19/10/2024,Fulham,Aston Villa,1,3,A,2.45,3.5,2.8,2.4,3.5,2.85,0.0,0.0,0.0,2.46,3.5,2.94,2.4,3.6,2.88,10,14,4,5,8,11,6,11,3,3,1,1
fd__19/10/2024_Ipswich_Everton,E0,Английская Премьер-лига,2024,19/10/2024,Ipswich,Everton,0,2,A,2.38,3.3,3.0,2.4,3.4,2.9,0.0,0.0,0.0,2.4,3.43,3.07,2.4,3.4,3.0,13,11,2,8,12,10,5,8,1,1,0,0
fd__19/10/2024_Man United_Brentford,E0,Английская Премьер-лига,2024,19/10/2024,Man United,Brentford,2,1,H,1.7,4.2,4.5,1.7,4.2,4.5,0.0,0.0,0.0,1.72,4.37,4.43,1.7,4.2,4.5,23,8,11,2,14,5,9,2,2,2,0,0
fd__19/10/2024_Newcastle_Brighton,E0,Английская Премьер-лига,2024,19/10/2024,Newcastle,Brighton,0,1,A,1.95,3.7,3.6,2.0,3.75,3.5,0.0,0.0,0.0,2.01,3.91,3.55,2.0,3.8,3.5,21,10,6,5,11,9,9,4,2,2,0,0
fd__19/10/2024_Southampton_Leicester,E0,Английская Премьер-лига,2024,19/10/2024,Southampton,Leicester,2,3,A,2.3,3.5,3.0,2.35,3.5,2.9,0.0,0.0,0.0,2.34,3.53,3.09,2.38,3.5,3.0,14,18,7,4,10,10,10,6,5,3,1,0
fd__19/10/2024_Bournemouth_Arsenal,E0,Английская Премьер-лига,2024,19/10/2024,Bournemouth,Arsenal,2,0,H,5.0,3.9,1.65,4.8,4.1,1.66,0.0,0.0,0.0,5.01,4.13,1.68,5.0,4.0,1.67,13,6,4,1,12,11,7,4,1,1,0,1
fd__20/10/2024_Wolves_Man City,E0,Английская Премьер-лига,2024,20/10/2024,Wolves,Man City,1,2,A,8.0,6.0,1.33,9.0,5.75,1.32,0.0,0.0,0.0,9.01,5.92,1.32,9.0,5.5,1.33,3,22,2,7,8,5,1,18,4,1,0,0
fd__20/10/2024_Liverpool_Chelsea,E0,Английская Премьер-лига,2024,20/10/2024,Liverpool,Chelsea,2,1,H,1.62,4.1,5.0,1.66,4.2,4.75,0.0,0.0,0.0,1.62,4.47,5.08,1.65,4.33,4.8,9,12,5,2,12,13,1,6,4,3,0,0
