"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Zenit St. Petersburg";30;19;8;3;66;28;65;63.84;56.26;25.75;21.98;34.29;9.3;15.42;379;127;64.13
2;"PFC Sochi";30;17;5;8;54;30;56;50.39;44.35;32.12;28.35;16;11.14;14.03;287;202;55.26
3;"Dinamo Moscow";30;16;5;9;53;41;53;46.53;38.99;31.16;28.14;10.84;10.64;14.45;193;134;52.53
4;"CSKA Moscow";30;15;5;10;42;29;50;43.02;39.25;33.42;31.91;7.34;10.19;13.84;254;174;46.24
5;"FC Krasnodar";30;14;8;8;42;30;50;44.79;34.98;37.02;32.5;2.49;8.72;13.79;265;195;46.83
6;"Lokomotiv Moscow";30;13;9;8;43;39;48;32.69;28.9;38.35;34.58;-5.68;7.99;8.84;197;224;36.21
7;"FK Akhmat";30;13;3;14;36;38;42;39.3;34.02;30.36;28.81;5.21;9.92;8.61;251;181;46.56
8;"Krylya Sovetov Samara";30;12;5;13;39;36;41;41.98;38.21;35.78;29.75;8.46;14.79;12.57;198;215;46.79
9;"FC Rostov";30;10;8;12;47;51;38;36.28;28.74;40.08;31.78;-3.04;10.09;11.15;188;209;37.8
10;"Spartak Moscow";30;10;8;12;37;41;38;39.88;35.31;32.91;25.36;9.95;9.78;10.51;237;139;47.89
11;"Ural";30;8;9;13;27;35;33;26.34;24.08;42.08;36.76;-12.69;10.76;9.87;179;241;29.46
12;"Nizhny Novgorod";30;8;9;13;26;39;33;23.35;18.82;44.52;39.24;-20.41;14.99;8.58;85;266;27.04
13;"Khimki";30;7;11;12;34;47;32;35.01;29.73;47.34;39.03;-9.3;12.47;9.86;182;272;33.73
14;"FC Ufa";30;6;12;12;29;40;30;35.79;29.75;37.91;30.37;-0.61;12.26;9.13;215;174;40.52
15;"Rubin Kazan";30;8;5;17;34;56;29;27.45;23.68;49.33;44.05;-20.37;12;9.21;129;294;29.07
16;"Arsenal Tula";30;5;8;17;30;59;23;23;21.49;51.5;43.96;-22.46;14.2;9.23;126;318;22.13
