"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Real Madrid";38;29;8;1;87;26;95;80.88;77.09;39.29;38.55;38.55;11.93;16.04;381;167;77.38
2;"Barcelona";38;26;7;5;79;44;85;81.76;76.56;45.44;43.95;32.61;8.27;15.9;380;213;76.96
3;"Girona";38;25;6;7;85;46;81;78.05;71.94;61.93;56.72;15.22;11.55;12.97;308;233;63.76
4;"Atletico Madrid";38;24;4;10;70;43;76;69.83;65.96;43.46;41.97;23.99;12.95;14.14;324;223;69.85
5;"Athletic Club";38;19;11;8;61;37;68;61.64;57.92;42.03;38.31;19.61;10.36;11.09;244;166;62.92
6;"Real Sociedad";38;16;12;10;51;39;60;49.16;46.19;47.29;42.09;4.1;7.55;12.55;201;173;52.7
7;"Real Betis";38;14;15;9;48;45;57;52.92;50.69;52.48;46.38;4.31;12.4;10.05;286;205;54.65
8;"Villarreal";38;14;11;13;65;65;53;59.81;54.6;65.86;61.41;-6.8;12.33;10.53;269;295;50.54
9;"Valencia";38;13;10;15;40;45;49;45.13;38.44;52.33;47.87;-9.43;13.17;9.46;138;241;47.96
10;"Alaves";38;12;10;16;36;46;46;51.97;46.77;52.08;46.14;0.63;12.87;7.82;179;233;50.74
11;"Osasuna";38;12;9;17;45;56;45;45.79;42.07;57.37;55.81;-13.74;11.54;11.4;193;199;46.27
12;"Getafe";38;10;13;15;42;54;43;50.28;45.07;57.65;52.45;-7.37;9.62;8.79;150;222;46.29
13;"Sevilla";38;10;11;17;48;54;41;53.53;52.05;62.99;59.27;-7.22;12.62;12.72;165;217;45.55
14;"Celta Vigo";38;10;11;17;46;57;41;56.39;52.67;60.06;54.12;-1.44;13.61;10.1;260;236;49.77
15;"Mallorca";38;8;16;14;33;44;40;41.73;39.36;47.56;43.85;-4.49;10.91;9.52;151;233;48.45
16;"Las Palmas";38;10;10;18;33;47;40;35.82;32.11;59.73;53.49;-21.38;9.21;13.54;193;196;37.4
17;"Rayo Vallecano";38;8;14;16;29;48;38;46.4;41.94;46;44.51;-2.57;9.26;9.05;176;237;52.8
18;"Cadiz";38;6;15;17;26;55;33;37.98;35.75;57.83;56.35;-20.6;10.46;8.4;148;246;42.52
19;"Almeria";38;3;12;23;43;75;21;49.9;48.41;71.85;65.14;-16.73;12.4;9.43;130;287;38.28
20;"Granada";38;4;9;25;38;79;21;43.58;37.61;69.31;64.85;-27.24;11.94;9.23;186;240;35.89
