"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Paris Saint Germain";34;22;10;2;81;33;76;72.88;65.91;45.71;41.91;24;7.66;17.52;340;184;65.19
2;"Monaco";34;20;7;7;68;42;67;65.06;61.15;46.27;41.71;19.44;8.04;12.23;346;192;59.86
3;"Brest";34;17;10;7;53;34;61;51.95;48.91;40.68;38.27;10.64;8.98;11.85;191;209;52.79
4;"Lille";34;16;11;7;52;34;59;55.32;52.91;40.57;36.76;16.15;10.2;12.92;258;160;55.31
5;"Nice";34;15;10;9;40;29;55;54.81;49.49;36.49;30.41;19.08;11.7;13.48;197;182;59.13
6;"Lyon";34;16;5;13;49;55;53;55.28;52.24;55.04;50.48;1.76;10.83;11.41;275;221;48.03
7;"Lens";34;14;9;11;45;37;51;62.08;56.76;49.46;43.27;13.49;10.33;12.19;279;179;53.75
8;"Marseille";34;13;11;10;52;41;50;60.03;56.99;37.62;35.34;21.66;10.67;12.25;278;179;60.06
9;"Reims";34;13;8;13;42;47;47;47.98;44.94;49.95;44.62;0.31;10.17;11.43;189;194;45.21
10;"Rennes";34;12;10;12;53;46;46;56;47.6;44.19;41.91;5.69;11.44;11.32;262;213;52.45
11;"Toulouse";34;11;10;13;42;46;43;44.85;38;49.26;46.22;-8.21;11.08;10.71;234;211;45.45
12;"Montpellier";34;10;12;12;43;48;42;50.62;45.3;56.84;53.04;-7.73;13.06;9.45;166;286;44.94
13;"Strasbourg";34;10;9;15;38;50;39;42.69;39.65;51.22;47.42;-7.77;14.1;9.89;159;231;40.57
14;"Nantes";34;9;6;19;30;55;33;39.44;35.64;60.46;52.86;-17.22;14.33;13.19;182;230;35.1
15;"Le Havre";34;7;11;16;34;45;32;39.05;33.73;55.3;52.13;-18.4;14.48;10.26;161;254;37.79
16;"Lorient";34;7;8;19;43;66;29;38.96;38.2;61;54.92;-16.72;14.66;9.88;206;286;31.75
17;"Metz";34;8;5;21;35;58;29;34.37;29.8;58.87;54.31;-24.51;17.26;7.27;89;291;32.22
18;"Clermont Foot";34;5;10;19;26;60;25;35.69;29.61;68.15;61.27;-31.66;12.07;10.89;156;266;29.65
