"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Inter";38;29;7;2;89;22;94;85.83;75.08;33.39;30.31;44.78;12.05;19.23;349;181;83.08
2;"AC Milan";38;22;9;7;76;49;75;71.86;65.77;47.73;41.64;24.12;11.06;15.31;278;186;69.35
3;"Juventus";38;19;14;5;54;31;71;63.48;59.55;31.77;29.34;30.21;13.85;12.91;242;175;74.64
4;"Atalanta";38;21;6;11;72;42;69;68.47;64.66;44.31;37.37;27.29;11.57;13.39;308;180;67.44
5;"Bologna";38;18;14;6;54;32;68;54.03;50.22;39.7;34.37;15.85;10.83;14.71;217;167;61.4
6;"Roma";38;18;9;11;65;46;63;56.92;47.78;47.03;43.22;4.56;11.68;15.45;269;208;59.25
7;"Lazio";38;18;7;13;49;39;61;51.39;48.34;45.26;42.97;5.37;12.08;15.68;277;199;57.78
8;"Fiorentina";38;17;9;12;61;46;60;58.11;52.02;54.97;48.01;4;10.37;13.51;309;155;55.76
9;"Napoli";38;13;14;11;55;48;53;68.49;60.73;41.89;38.84;21.88;9.27;17.8;345;158;68.28
10;"Torino";38;13;14;11;36;36;53;43.29;41.77;38.76;33.43;8.34;11.53;13.58;182;184;55.59
11;"Genoa";38;12;13;13;45;45;49;38.69;33.95;47.77;44.64;-10.68;13.29;11.63;168;229;44.33
12;"Monza";38;11;12;15;39;51;45;45.55;41.75;63.83;56.68;-14.93;13.67;14.95;173;268;40.52
13;"Verona";38;9;11;18;38;51;38;38.46;32.91;58.52;57;-24.09;11.71;9.62;145;234;38.16
14;"Lecce";38;8;14;16;32;54;38;47.62;43.72;65.39;60.83;-17.1;11.91;8.64;146;262;40.09
15;"Udinese";38;6;19;13;37;53;37;44.88;41.84;53.15;46.29;-4.46;15.83;7.37;122;258;49.01
16;"Empoli";38;9;9;20;29;54;36;38.06;34.25;58.71;52.62;-18.37;12.07;9.46;151;277;39.48
17;"Cagliari";38;8;12;18;42;68;36;45.44;40.87;62.56;58.76;-17.89;15.19;9.69;149;241;41.04
18;"Frosinone";38;8;11;19;44;69;35;50.2;42.59;65.05;58.88;-16.29;12.6;11.08;216;249;44.49
19;"Sassuolo";38;7;9;22;43;75;30;43.53;37.44;66.92;58.55;-21.11;15.92;9.79;214;264;39.64
20;"Salernitana";38;2;11;25;32;81;17;31.45;29.92;79.03;71.42;-41.49;15.49;9.11;145;330;22.68
