"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Zenit St. Petersburg";30;21;7;2;74;20;70;57.96;52.54;18.16;15.9;36.65;10.51;14.24;429;134;64.22
2;"CSKA Moscow";30;17;7;6;56;27;58;54.66;47.11;26.11;23.01;24.11;11.82;9.32;316;177;60.25
3;"Spartak Moscow";30;15;9;6;60;38;54;60.6;52.08;32.53;29.51;22.56;8.32;12.31;351;179;58.29
4;"FC Rostov";30;15;8;7;48;44;53;39.44;28.1;43.28;38.75;-10.66;9.66;12.42;208;198;40.06
5;"FK Akhmat";30;15;5;10;51;39;50;36.75;35.24;35.46;33.95;1.29;9.69;7.35;211;240;41.34
6;"FC Krasnodar";30;13;9;8;62;46;48;44.59;40.07;39.06;32.27;7.79;9.82;12.46;230;239;45.95
7;"FC Orenburg";30;14;4;12;58;55;46;49.44;43.26;48.6;43.2;0.06;9.68;10;228;296;43.68
8;"Lokomotiv Moscow";30;13;6;11;54;46;45;47.12;40.33;45.02;38.98;1.35;9.28;9.23;234;297;41.89
9;"Dinamo Moscow";30;13;6;11;49;45;45;43.9;34.85;35.69;31.16;3.69;10.95;10.51;269;216;46.82
10;"PFC Sochi";30;11;5;14;37;54;38;41.8;35.77;42.26;36.95;-1.18;11.02;13.41;246;230;40.82
11;"Ural";30;10;6;14;33;45;36;33.98;30.96;40.19;33.4;-2.44;11.22;13.06;221;257;37.42
12;"Krylya Sovetov Samara";30;8;8;14;32;45;32;37.87;34.85;39.21;30.75;4.1;15.18;9.65;233;222;41.92
13;"Nizhny Novgorod";30;8;7;15;34;48;31;28.58;22.54;45.24;38.45;-15.91;11.73;9.38;153;227;30.24
14;"Fakel";30;6;12;12;36;48;30;31.31;26.03;42.75;33.55;-7.52;10.64;7.88;151;235;34.47
15;"Khimki";30;4;6;20;25;67;18;26.96;23.04;58.71;51.92;-28.88;9.11;9.73;184;286;23.47
16;"Torpedo Moscow";30;2;5;23;20;62;11;21.14;18.87;63.85;53.89;-35.02;12;8.59;122;353;14.64
