"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Bayer Leverkusen";34;28;6;0;89;24;90;82.01;75.95;32.43;32.43;43.52;12.69;18.28;444;175;76.17
2;"VfB Stuttgart";34;23;4;7;78;39;73;78.99;72.78;42.5;40.23;32.55;11.42;17.34;347;168;69.5
3;"Bayern Munich";34;23;3;8;94;45;72;94.4;90.61;35.22;32.19;58.42;11.15;17.14;439;187;76.98
4;"RasenBallsport Leipzig";34;19;8;7;77;39;65;72.63;67.32;43.25;39.46;27.86;12.53;15.02;302;188;64.21
5;"Borussia Dortmund";34;18;9;7;68;43;63;71.16;66.62;55.27;50.58;16.04;12.56;14.69;312;248;56.88
6;"Eintracht Frankfurt";34;11;14;9;51;50;47;51.64;49.36;55.25;46.78;2.59;13.41;14.32;264;224;46.05
7;"Hoffenheim";34;13;7;14;66;66;46;56.25;51.7;66.42;62.64;-10.93;13.37;13.41;244;322;42.57
8;"FC Heidenheim";34;10;12;12;50;55;42;42.58;40.31;66.09;58.39;-18.08;14.73;10.39;155;307;33.24
9;"Werder Bremen";34;11;9;14;48;54;42;47.1;42.43;61.1;56.55;-14.12;13.89;11.45;229;301;38.44
10;"Freiburg";34;11;9;14;45;58;42;52.5;45.68;58.56;54.68;-9;16.23;12.71;191;267;44.26
11;"Augsburg";34;10;9;15;50;60;39;49.12;43.81;62.3;54.73;-10.91;12.32;11.11;243;267;39.04
12;"Wolfsburg";34;10;7;17;41;56;37;44;41.59;49.87;47.6;-6.01;13.51;12.47;230;223;42.79
13;"Mainz 05";34;7;14;13;39;51;35;51.68;47.89;50.51;47.48;0.41;10.91;10.39;220;228;49.18
14;"Borussia M.Gladbach";34;7;13;14;56;67;34;51.81;47.26;62.5;57.95;-10.69;15.92;11.7;211;314;41.37
15;"Union Berlin";34;9;6;19;33;58;33;44.74;40.11;56.56;51.26;-11.15;14.74;11.49;166;230;39.5
16;"Bochum";34;7;12;15;42;74;33;51.44;48.41;70.18;61.84;-13.43;9.41;9.69;213;279;39.05
17;"FC Cologne";34;5;12;17;28;60;27;44.34;39.79;71.81;69.54;-29.75;13.55;10.55;147;296;32.62
18;"Darmstadt";34;3;8;23;30;86;17;34.56;32.29;81.12;79.6;-47.31;14.89;12.36;186;319;24.64
