"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"FC Krasnodar";30;20;7;3;59;23;67;52.53;48.76;29.35;26.33;22.43;6.3;10.35;253;209;57.44
2;"Zenit St. Petersburg";30;20;6;4;58;18;66;45.79;43.53;21.52;20.01;23.52;9.57;11.53;342;127;57.37
3;"CSKA Moscow";30;17;8;5;47;21;59;40.83;38.57;26.44;24.17;14.4;11.77;12.64;212;187;49.66
4;"Spartak Moscow";30;17;6;7;56;25;57;52.82;44.5;22.85;21.35;23.15;5.94;11.39;279;139;62.01
5;"Dinamo Moscow";30;16;8;6;61;35;56;49.28;42.49;35.35;32.31;10.18;9.14;8.43;270;244;48.46
6;"Lokomotiv Moscow";30;15;8;7;51;41;53;44.6;40.07;37.86;36.35;3.72;10.08;10.83;250;214;45.57
7;"Rubin Kazan";30;13;6;11;42;45;45;34.09;28.81;42.76;35.21;-6.4;10.3;7.92;163;232;35.59
8;"FC Rostov";30;10;9;11;41;43;39;40.2;34.92;37.06;33.29;1.63;7.31;10.43;313;178;42.33
9;"Akron";30;10;5;15;39;55;35;33.53;31.27;52.18;46.15;-14.88;8.72;9.41;234;342;30.88
10;"Krylya Sovetov Samara";30;8;7;15;36;51;31;34.43;31.42;41.03;34.24;-2.82;12.58;10.67;166;244;35.84
11;"Dynamo Makhachkala";30;6;11;13;27;35;29;28.27;25.25;34.56;30.03;-4.78;9.02;6.26;195;153;35.05
12;"Khimki";30;6;11;13;35;56;29;32.22;26.19;51.33;46.77;-20.57;11.74;8.39;211;331;31.02
13;"Nizhny Novgorod";30;7;6;17;27;54;27;27.67;21.6;44.83;39.55;-17.95;13.31;7.46;119;301;29.79
14;"FK Akhmat";30;4;13;13;27;48;25;38.82;34.28;37.22;31.94;2.34;8.46;7.03;212;186;43.34
15;"FC Orenburg";30;4;7;19;28;56;19;31.81;31.05;51.8;45.76;-14.71;8.78;9.31;201;267;29.18
16;"Fakel";30;2;12;16;14;42;18;23.03;20.02;43.79;39.27;-19.25;8.97;6.79;173;239;27.37
