"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Zenit St. Petersburg";30;19;8;3;76;26;65;65.08;56.61;22.64;18.87;37.74;9.65;15.95;423;143;67.18
2;"Spartak Moscow";30;17;6;7;56;37;57;51.14;43.6;32.68;29.43;14.17;6.91;11.09;265;163;54.48
3;"Lokomotiv Moscow";30;17;5;8;45;35;56;40.74;36.22;37.27;32.62;3.6;8.79;10.7;205;193;45.36
4;"PFC Sochi";30;15;8;7;49;33;53;40.63;35.35;29.36;27.1;8.25;12.41;11.72;175;202;48.51
5;"Rubin Kazan";30;16;5;9;42;33;53;42.06;36.78;33.21;27.18;9.6;10.66;8.76;175;201;45.9
6;"CSKA Moscow";30;15;5;10;51;33;50;48.16;42.05;30.36;26.59;15.46;10.31;11.58;304;198;54.71
7;"Dinamo Moscow";30;15;5;10;44;33;50;44.48;37.69;31.68;25.65;12.04;8.87;11.34;215;163;48.84
8;"Khimki";30;13;6;11;35;39;45;29.99;26.22;47.25;41.82;-15.6;11.67;9.27;169;255;30.32
9;"FC Rostov";30;13;4;13;37;35;43;32.58;28.81;34.16;28.71;0.1;8.94;10.17;160;202;39.62
10;"FC Krasnodar";30;12;5;13;52;45;41;45.46;40.78;37.9;34.13;6.65;8.29;12.83;323;164;46.31
11;"FK Akhmat";30;11;7;12;36;38;40;40.15;32.58;32.05;27.52;5.06;9.54;8.6;201;188;46.12
12;"Ural";30;7;13;10;26;36;34;26.34;21.82;42.47;34.9;-13.08;10.25;10.83;142;211;32.84
13;"FC Ufa";30;6;7;17;26;46;25;27.21;24.04;42.23;36.18;-12.14;12.18;9.86;143;224;31.73
14;"Arsenal Tula";30;6;5;19;28;51;23;26.95;23.18;42.93;36.9;-13.72;10.12;8.77;151;164;29.85
15;"FC Rotor Volgograd";30;5;7;18;15;52;22;18.63;15.45;47.59;40.04;-24.6;12.86;7.84;87;244;21.73
16;"FC Tambov";30;3;4;23;19;65;13;22.29;16.99;58.1;50.52;-33.52;16.58;7.85;97;320;19.69
