"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Paris Saint Germain";34;26;6;2;92;35;84;103.63;36.39;83.66
2;"Marseille";34;20;5;9;74;47;65;68.84;51.47;56.27
3;"Monaco";34;18;7;9;63;41;61;76.93;38.38;70.06
4;"Nice";34;17;9;8;66;41;60;66.84;44.99;60.84
5;"Lille";34;17;9;8;52;36;60;60.44;45.74;56.61
6;"Lyon";34;17;6;11;65;46;57;64.98;48.29;56.43
7;"Strasbourg";34;16;9;9;56;44;57;53.81;61.78;43.42
8;"Lens";34;15;7;12;42;39;52;58.74;47.87;53.87
9;"Brest";34;15;5;14;52;59;50;52.78;66.25;40.08
10;"Toulouse";34;11;9;14;44;43;42;54.89;39.34;56.48
11;"Auxerre";34;11;9;14;48;51;42;42.78;62.85;34.95
12;"Rennes";34;13;2;19;51;50;41;53.8;50.8;47.64
13;"Nantes";34;8;12;14;39;52;36;44.9;60.06;40.18
14;"Angers";34;10;6;18;32;53;36;39.61;64.62;35.46
15;"Le Havre";34;10;4;20;40;71;34;45.35;68.95;34.57
16;"Reims";34;8;9;17;33;47;33;41.63;63.26;34.04
17;"Saint-Etienne";34;8;6;20;39;77;30;40.49;84.02;26.78
18;"Montpellier";34;4;4;26;23;79;16;38.45;73.82;27.02
