"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Paris Saint Germain";27;22;2;3;75;24;68;76.42;22.43;65.68
2;"Marseille";28;16;8;4;41;29;56;36.42;32.05;41.73
3;"Rennes";28;15;5;8;38;24;50;34.37;28.15;41.18
4;"Lille";28;15;4;9;35;27;49;40.81;30.17;47.12
5;"Reims";28;10;11;7;26;21;41;28.93;26.47;40.42
6;"Nice";28;11;8;9;41;38;41;36.45;42.69;35.62
7;"Lyon";28;11;7;10;42;27;40;36.24;24.73;46.34
8;"Montpellier";28;11;7;10;35;34;40;34.95;32.26;40.05
9;"Monaco";28;11;7;10;44;44;40;48.55;41.06;42.47
10;"Angers";28;11;6;11;28;33;39;27.1;28.15;37.49
11;"Strasbourg";27;11;5;11;32;32;38;34.56;33.46;37.74
12;"Bordeaux";28;9;10;9;40;34;37;30.47;35.2;37.06
13;"Nantes";28;11;4;13;28;31;37;27.81;30.26;35.91
14;"Brest";28;8;10;10;34;37;34;30.05;44.11;30.64
15;"Metz";28;8;10;10;27;35;34;24.65;36.54;29.04
16;"Dijon";28;7;9;12;27;37;30;27.38;39.3;31.19
17;"Saint-Etienne";28;8;6;14;29;45;30;29.65;37.73;32.68
18;"Nimes";28;7;6;15;29;44;27;30.19;40.47;32.69
19;"Amiens";28;4;11;13;31;50;23;25.62;38.43;32.84
20;"Toulouse";28;3;4;21;22;58;13;31.29;48.28;28.01
