"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Lille";38;24;11;3;64;23;83;48.07;25.68;67.61
2;"Paris Saint Germain";38;26;4;8;86;28;82;83.89;36.85;78.27
3;"Monaco";38;24;6;8;76;42;78;70.35;33.95;75.81
4;"Lyon";38;22;10;6;81;43;76;82.37;38.42;78.81
5;"Marseille";38;16;12;10;54;47;60;49.29;46.49;55.24
6;"Rennes";38;16;10;12;52;40;58;46.75;36.06;58.78
7;"Lens";38;15;12;11;55;54;57;56.36;46.41;60.04
8;"Montpellier";38;14;12;12;60;62;54;52.27;67.22;44.74
9;"Nice";38;15;7;16;50;53;52;46.37;56.18;46.96
10;"Metz";38;12;11;15;44;48;47;42.26;48.4;47.96
11;"Saint-Etienne";38;12;10;16;42;54;46;47.28;49.15;52.35
12;"Bordeaux";38;13;6;19;42;56;45;43.55;54.87;45.11
13;"Angers";38;12;8;18;40;58;44;39.92;52.81;42.64
14;"Reims";38;9;15;14;42;50;42;33.23;61.79;33.94
15;"Strasbourg";38;11;9;18;49;58;42;52.78;50.22;52.85
16;"Lorient";38;11;9;18;50;68;42;48.15;52.48;50.28
17;"Brest";38;11;8;19;50;66;41;45.77;58.02;43.95
18;"Nantes";38;9;13;16;47;55;40;48.27;54.89;48.75
19;"Nimes";38;9;8;21;40;71;35;41.39;64.17;39.7
20;"Dijon";38;4;9;25;25;73;21;31.85;76.12;24.88
