"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Zenit St. Petersburg";30;21;7;2;74;20;70;57.96;18.16;64.22
2;"CSKA Moscow";30;17;7;6;56;27;58;54.66;26.11;60.25
3;"Spartak Moscow";30;15;9;6;60;38;54;60.6;32.53;58.29
4;"FC Rostov";30;15;8;7;48;44;53;39.44;43.28;40.06
5;"FK Akhmat";30;15;5;10;51;39;50;36.75;35.46;41.34
6;"FC Krasnodar";30;13;9;8;62;46;48;44.59;39.06;45.95
7;"FC Orenburg";30;14;4;12;58;55;46;49.44;48.6;43.68
8;"Lokomotiv Moscow";30;13;6;11;54;46;45;47.12;45.02;41.89
9;"Dinamo Moscow";30;13;6;11;49;45;45;43.9;35.69;46.82
10;"PFC Sochi";30;11;5;14;37;54;38;41.8;42.26;40.82
11;"Ural";30;10;6;14;33;45;36;33.98;40.19;37.42
12;"Krylya Sovetov Samara";30;8;8;14;32;45;32;37.87;39.21;41.92
13;"Nizhny Novgorod";30;8;7;15;34;48;31;28.58;45.24;30.24
14;"Fakel";30;6;12;12;36;48;30;31.31;42.75;34.47
15;"Khimki";30;4;6;20;25;67;18;26.96;58.71;23.47
16;"Torpedo Moscow";30;2;5;23;20;62;11;21.14;63.85;14.64
