"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Zenit St. Petersburg";30;19;8;3;66;28;65;63.84;25.75;64.13
2;"PFC Sochi";30;17;5;8;54;30;56;50.39;32.12;55.26
3;"Dinamo Moscow";30;16;5;9;53;41;53;46.53;31.16;52.53
4;"CSKA Moscow";30;15;5;10;42;29;50;43.02;33.42;46.24
5;"FC Krasnodar";30;14;8;8;42;30;50;44.79;37.02;46.83
6;"Lokomotiv Moscow";30;13;9;8;43;39;48;32.69;38.35;36.21
7;"FK Akhmat";30;13;3;14;36;38;42;39.3;30.36;46.56
8;"Krylya Sovetov Samara";30;12;5;13;39;36;41;41.98;35.78;46.79
9;"FC Rostov";30;10;8;12;47;51;38;36.28;40.08;37.8
10;"Spartak Moscow";30;10;8;12;37;41;38;39.88;32.91;47.89
11;"Ural";30;8;9;13;27;35;33;26.34;42.08;29.46
12;"Nizhny Novgorod";30;8;9;13;26;39;33;23.35;44.52;27.04
13;"Khimki";30;7;11;12;34;47;32;35.01;47.34;33.73
14;"FC Ufa";30;6;12;12;29;40;30;35.79;37.91;40.52
15;"Rubin Kazan";30;8;5;17;34;56;29;27.45;49.33;29.07
16;"Arsenal Tula";30;5;8;17;30;59;23;23;51.5;22.13
