"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Zenit St. Petersburg";30;22;6;2;65;18;72;62.39;25.01;63.75
2;"Lokomotiv Moscow";30;16;9;5;41;29;57;47.75;30.9;52
3;"FC Krasnodar";30;14;10;6;49;30;52;45.63;33.58;48.83
4;"CSKA Moscow";30;14;8;8;43;29;50;40.32;33.59;45.81
5;"FC Rostov";30;12;9;9;45;50;45;41.3;45.48;41.68
6;"Dinamo Moscow";30;11;8;11;27;30;41;39.9;32.82;46.03
7;"Spartak Moscow";30;11;6;13;35;33;39;42.53;34.75;46.31
8;"FC Ufa";30;8;14;8;22;24;38;26.01;35.74;32.83
9;"Arsenal Tula";30;11;5;14;37;41;38;32.01;40.47;35.33
10;"Rubin Kazan";30;8;11;11;18;28;35;30.08;43.45;32.82
11;"Ural";30;9;8;13;36;53;35;31.61;49.42;31.78
12;"PFC Sochi";30;8;9;13;40;39;33;36.46;38.85;38.66
13;"FC Tambov";30;9;4;17;37;41;31;26.01;39.75;29.24
14;"Krylya Sovetov Samara";30;8;7;15;33;40;31;33.58;42.98;36.34
15;"FK Akhmat";30;7;10;13;27;46;31;33.9;40.63;36.54
16;"FC Orenburg";30;7;6;17;28;52;27;35.11;37.17;39.24
