"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Paris Saint Germain";34;22;10;2;81;33;76;72.88;45.71;65.19
2;"Monaco";34;20;7;7;68;42;67;65.06;46.27;59.86
3;"Brest";34;17;10;7;53;34;61;51.95;40.68;52.79
4;"Lille";34;16;11;7;52;34;59;55.32;40.57;55.31
5;"Nice";34;15;10;9;40;29;55;54.81;36.49;59.13
6;"Lyon";34;16;5;13;49;55;53;55.28;55.04;48.03
7;"Lens";34;14;9;11;45;37;51;62.08;49.46;53.75
8;"Marseille";34;13;11;10;52;41;50;60.03;37.62;60.06
9;"Reims";34;13;8;13;42;47;47;47.98;49.95;45.21
10;"Rennes";34;12;10;12;53;46;46;56;44.19;52.45
11;"Toulouse";34;11;10;13;42;46;43;44.85;49.26;45.45
12;"Montpellier";34;10;12;12;43;48;42;50.62;56.84;44.94
13;"Strasbourg";34;10;9;15;38;50;39;42.69;51.22;40.57
14;"Nantes";34;9;6;19;30;55;33;39.44;60.46;35.1
15;"Le Havre";34;7;11;16;34;45;32;39.05;55.3;37.79
16;"Lorient";34;7;8;19;43;66;29;38.96;61;31.75
17;"Metz";34;8;5;21;35;58;29;34.37;58.87;32.22
18;"Clermont Foot";34;5;10;19;26;60;25;35.69;68.15;29.65
