"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Paris Saint Germain";38;27;4;7;89;40;85;86.15;47.11;74.01
2;"Lens";38;25;9;4;68;29;84;69.93;44.56;69.41
3;"Marseille";38;22;7;9;67;40;73;72.94;45.3;70.97
4;"Rennes";38;21;5;12;69;39;68;64.24;43.14;65.33
5;"Lille";38;19;10;9;65;44;67;74.23;42;75.09
6;"Monaco";38;19;8;11;70;58;65;65.36;56.14;58.44
7;"Lyon";38;18;8;12;65;47;62;69.79;50.74;64.22
8;"Clermont Foot";38;17;8;13;45;49;59;49.65;59.44;47.77
9;"Nice";38;15;13;10;48;37;58;59.22;44.16;61.28
10;"Lorient";38;15;10;13;52;53;55;47.35;60.97;42.43
11;"Reims";38;12;15;11;45;45;51;59.52;54.97;55.35
12;"Montpellier";38;15;5;18;65;62;50;52.56;67.25;45.42
13;"Toulouse";38;13;9;16;51;57;48;59.77;59.33;55.4
14;"Brest";38;11;11;16;44;54;44;41.4;58.09;43.52
15;"Strasbourg";38;9;13;16;51;59;40;52.79;55.93;52.19
16;"Nantes";38;7;15;16;37;55;36;44.62;58.41;44.58
17;"Auxerre";38;8;11;19;35;63;35;40.21;65.01;37.71
18;"Ajaccio";38;7;5;26;23;74;26;31.06;56.13;33.12
19;"Troyes";38;4;12;22;45;81;24;36.71;83.79;25.5
20;"Angers";38;4;6;28;33;81;18;41.04;66.07;34.04
