"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Paris Saint Germain";34;24;4;6;74;29;76;75.64;33.6;73.32
2;"Lens";34;22;4;8;66;35;70;74.36;42.96;65.41
3;"Lille";34;18;7;9;52;37;61;57.19;38.61;57.32
4;"Lyon";34;18;6;10;53;40;60;55.16;47.98;52.81
5;"Marseille";34;18;5;11;63;45;59;69.45;49.66;59.16
6;"Rennes";34;17;8;9;59;50;59;54.47;60.22;44.62
7;"Monaco";34;16;6;12;60;54;54;61.41;51.21;53.28
8;"Strasbourg";34;15;8;11;58;47;53;56.77;47.74;51.78
9;"Lorient";34;11;12;11;48;51;45;49.11;52.87;43.19
10;"Toulouse";33;12;8;13;47;46;44;46.29;44.32;48.21
11;"Paris FC";34;11;11;12;47;50;44;49.71;56.59;43.12
12;"Brest";34;10;9;15;43;55;39;46.38;56.24;42.51
13;"Angers";34;9;9;16;29;48;36;33.46;60.27;30.36
14;"Le Havre";34;7;14;13;32;44;35;38.69;55.73;38.58
15;"Auxerre";34;8;10;16;34;44;34;40.34;50.05;40.6
16;"Nice";34;7;11;16;37;60;32;46.79;60.75;38.63
17;"Nantes";33;5;8;20;29;52;23;37.82;52.75;35.45
18;"Metz";34;3;8;23;32;76;17;33.58;65.04;28.13
