"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Zenit St. Petersburg";30;17;6;7;52;27;57;46.37;23.24;56.62
2;"FC Krasnodar";30;16;8;6;45;29;56;45.1;32.72;50.42
3;"Dinamo Moscow";30;16;8;6;53;39;56;47.57;41.35;44.76
4;"Lokomotiv Moscow";30;14;11;5;52;38;53;40.55;42.01;39.53
5;"Spartak Moscow";30;14;8;8;41;32;50;37.14;33.4;43.09
6;"CSKA Moscow";30;12;12;6;56;40;48;41.65;36.73;44.53
7;"FC Rostov";30;12;7;11;43;46;43;40.69;34.22;45.99
8;"Rubin Kazan";30;11;9;10;31;38;42;33.56;34.49;39.44
9;"Krylya Sovetov Samara";30;11;8;11;46;44;41;39.8;37.86;40.9
10;"FK Akhmat";30;10;5;15;33;45;35;34.14;45.51;34.55
11;"Fakel";30;7;11;12;22;31;32;28.11;34.83;36.16
12;"FC Orenburg";30;7;10;13;34;41;31;35.85;46.29;35.44
13;"Ural";30;7;9;14;30;46;30;37.43;39.39;41.09
14;"Nizhny Novgorod";30;8;6;16;29;51;30;25.97;43.08;28.27
15;"Baltika";30;7;5;18;33;42;26;36.42;43.16;35.45
16;"PFC Sochi";30;5;9;16;37;48;24;38.17;40.26;40.61
