"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Inter";38;27;6;5;89;35;87;87.05;35.85;82.69
2;"Napoli";38;23;7;8;58;36;76;57.76;41.63;63.46
3;"Roma";38;23;4;11;59;31;73;62.63;42.59;66.64
4;"Como";38;20;11;7;65;29;71;67.97;39.54;68.81
5;"AC Milan";38;20;10;8;53;35;70;64.81;46.12;64.46
6;"Juventus";38;19;12;7;61;34;69;74.16;36.12;75.5
7;"Atalanta";38;15;14;9;51;36;59;68.65;51.7;64.18
8;"Bologna";38;16;8;14;49;46;56;50.04;50.91;52.39
9;"Lazio";38;14;12;12;41;40;54;46.18;49;48.24
10;"Udinese";38;14;8;16;45;48;50;47.29;57.02;46.53
11;"Sassuolo";38;14;7;17;46;50;49;48.02;61.07;46.44
12;"Parma Calcio 1913";38;11;12;15;28;46;45;36.15;61.8;37.64
13;"Torino";38;12;9;17;44;63;45;51.55;60.36;47.42
14;"Cagliari";38;11;10;17;40;53;43;43.73;60.36;42.05
15;"Fiorentina";38;9;15;14;41;50;42;52.17;57.46;48.38
16;"Genoa";38;10;11;17;41;51;41;48.13;55.7;46.29
17;"Lecce";38;10;8;20;28;50;38;37.23;64.8;36.05
18;"Cremonese";38;8;10;20;32;57;34;37.49;66.51;36.44
19;"Verona";38;3;12;23;25;61;21;37.39;55.58;40.98
20;"Pisa";38;2;12;24;26;71;18;42.16;66.46;39.11
