"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Juventus";38;26;5;7;76;43;83;73.77;41;71.24
2;"Inter";38;24;10;4;81;36;82;73.95;39.36;75.38
3;"Atalanta";38;23;9;6;98;48;78;86.17;41.73;76.01
4;"Lazio";38;24;6;8;79;42;78;67.55;52.33;62.18
5;"Roma";38;21;7;10;77;51;70;78.32;49.15;70.26
6;"AC Milan";38;19;9;10;63;46;66;65.27;46.42;65.47
7;"Napoli";38;18;8;12;61;50;62;63.88;43.17;66.49
8;"Sassuolo";38;14;9;15;69;63;51;53.42;65.07;46.17
9;"Fiorentina";38;12;13;13;51;48;49;53.49;50.3;54.92
10;"Parma Calcio 1913";38;14;7;17;56;57;49;47.12;64.13;41.83
11;"Verona";38;12;13;13;47;51;49;52.49;53.95;50.26
12;"Bologna";38;12;11;15;52;65;47;57.41;54.87;52.97
13;"Cagliari";38;11;12;15;52;56;45;41.92;60.98;40.05
14;"Udinese";38;12;9;17;37;51;45;43.69;52.54;49.32
15;"Sampdoria";38;12;6;20;48;65;42;48.92;56.21;49.71
16;"Torino";38;11;7;20;46;68;40;43.49;63.49;39.04
17;"Genoa";38;10;9;19;47;73;39;49.89;59.51;46.12
18;"Lecce";38;9;8;21;52;85;35;53.47;91.97;34.92
19;"Brescia";38;6;7;25;35;79;25;43.25;78.38;33.14
20;"SPAL 2013";38;5;5;28;27;77;20;39.07;71.97;30.49
