"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Zenit St. Petersburg";30;19;8;3;76;26;65;65.08;22.64;67.18
2;"Spartak Moscow";30;17;6;7;56;37;57;51.14;32.68;54.48
3;"Lokomotiv Moscow";30;17;5;8;45;35;56;40.74;37.27;45.36
4;"PFC Sochi";30;15;8;7;49;33;53;40.63;29.36;48.51
5;"Rubin Kazan";30;16;5;9;42;33;53;42.06;33.21;45.9
6;"CSKA Moscow";30;15;5;10;51;33;50;48.16;30.36;54.71
7;"Dinamo Moscow";30;15;5;10;44;33;50;44.48;31.68;48.84
8;"Khimki";30;13;6;11;35;39;45;29.99;47.25;30.32
9;"FC Rostov";30;13;4;13;37;35;43;32.58;34.16;39.62
10;"FC Krasnodar";30;12;5;13;52;45;41;45.46;37.9;46.31
11;"FK Akhmat";30;11;7;12;36;38;40;40.15;32.05;46.12
12;"Ural";30;7;13;10;26;36;34;26.34;42.47;32.84
13;"FC Ufa";30;6;7;17;26;46;25;27.21;42.23;31.73
14;"Arsenal Tula";30;6;5;19;28;51;23;26.95;42.93;29.85
15;"FC Rotor Volgograd";30;5;7;18;15;52;22;18.63;47.59;21.73
16;"FC Tambov";30;3;4;23;19;65;13;22.29;58.1;19.69
