"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Zenit St. Petersburg";30;20;8;2;53;19;68;45.97;21.03;57.17
2;"FC Krasnodar";30;20;6;4;60;23;66;51.94;24.32;59.09
3;"Lokomotiv Moscow";30;14;11;5;54;39;53;46.33;39.13;46.31
4;"Spartak Moscow";30;15;7;8;47;39;52;45.65;31.44;51.79
5;"CSKA Moscow";30;15;6;9;44;33;51;38.45;35.77;42.83
6;"Baltika";30;11;13;6;38;21;46;37.12;26.95;48.73
7;"Dinamo Moscow";30;12;9;9;51;40;45;44.46;35.8;46.82
8;"Rubin Kazan";30;11;10;9;29;30;43;26.27;34.98;35.06
9;"FK Akhmat";30;9;10;11;35;39;37;31.5;37.67;35.86
10;"FC Rostov";30;8;9;13;25;32;33;31.43;30.85;39.71
11;"Krylya Sovetov Samara";30;8;8;14;35;50;32;27.15;48.34;28.2
12;"FC Orenburg";30;7;8;15;29;44;29;32.57;38.95;37.2
13;"Akron";30;6;9;15;35;53;27;34.09;47.35;31.66
14;"Dynamo Makhachkala";30;5;11;14;19;37;26;30.28;30.71;39.26
15;"Nizhny Novgorod";30;6;5;19;26;50;23;32.76;42.06;33.47
16;"PFC Sochi";30;6;4;20;29;60;22;21.87;52.5;23.49
